epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.982,1.21952,3.0716,1.51542,0.00673,0.94318,0.25454,0.15332,1.17563,3.01225,1.59665,0.00328125,0.00328125,0.00328125
2,82.093,1.26918,2.27148,1.51248,0.4275,0.40787,0.3774,0.21992,1.42284,2.39017,1.90194,0.00659821,0.00659821,0.00659821
3,120.117,1.30786,2.02594,1.5404,0.1678,0.32185,0.13454,0.0572,1.78619,3.45371,2.24915,0.00989867,0.00989867,0.00989867
4,157.837,1.39932,2.06883,1.62742,0.18954,0.19906,0.10073,0.0418,1.99232,3.35006,2.63202,0.00992575,0.00992575,0.00992575
5,195.528,1.40233,1.93063,1.62021,0.26503,0.22572,0.17661,0.08536,1.66031,3.55114,2.20965,0.009901,0.009901,0.009901
6,233.502,1.38161,1.80681,1.59732,0.30611,0.1856,0.12157,0.05345,1.76206,3.23007,2.20602,0.00987625,0.00987625,0.00987625
7,271.051,1.37593,1.75273,1.60399,0.44797,0.3591,0.34257,0.18347,1.58164,2.45838,2.04764,0.0098515,0.0098515,0.0098515
8,308.739,1.35841,1.67464,1.58034,0.60908,0.42248,0.47468,0.27573,1.45887,1.80195,1.89931,0.00982675,0.00982675,0.00982675
9,18178.3,1.34366,1.58551,1.56553,0.57306,0.49282,0.52959,0.31421,1.42617,1.80024,1.8823,0.009802,0.009802,0.009802
10,18220.6,1.31169,1.58922,1.55138,0.52857,0.52153,0.51923,0.30669,1.44321,1.86299,1.85307,0.00977725,0.00977725,0.00977725
11,18258.4,1.31898,1.49066,1.54,0.50784,0.21589,0.15206,0.08163,1.76498,3.10851,2.22854,0.0097525,0.0097525,0.0097525
12,18296.8,1.30397,1.46522,1.53786,0.34792,0.36829,0.29651,0.16995,1.68547,2.38958,2.22467,0.00972775,0.00972775,0.00972775
13,18335.2,1.29008,1.45133,1.50753,0.56377,0.43098,0.49925,0.28253,1.49912,1.9409,1.86734,0.009703,0.009703,0.009703
14,18373.3,1.28879,1.39886,1.51256,0.58661,0.54702,0.57719,0.3449,1.40456,1.61529,1.78481,0.00967825,0.00967825,0.00967825
15,18411.2,1.26783,1.40371,1.50336,0.6851,0.47472,0.58384,0.35689,1.35814,1.50275,1.73,0.0096535,0.0096535,0.0096535
16,18449.5,1.2518,1.36206,1.50551,0.65565,0.57007,0.58802,0.3792,1.31078,1.51492,1.76128,0.00962875,0.00962875,0.00962875
17,18487.4,1.25519,1.33435,1.49183,0.63481,0.57455,0.62908,0.38691,1.36284,1.40582,1.74938,0.009604,0.009604,0.009604
18,18525.1,1.26799,1.31622,1.49051,0.73139,0.53036,0.64317,0.39614,1.35014,1.36432,1.71986,0.00957925,0.00957925,0.00957925
19,18562.9,1.2437,1.29625,1.47495,0.64239,0.61962,0.66907,0.42981,1.2634,1.27657,1.63462,0.0095545,0.0095545,0.0095545
20,18600.6,1.22712,1.25435,1.4697,0.6255,0.56461,0.59951,0.36989,1.32209,1.45531,1.72232,0.00952975,0.00952975,0.00952975
21,18638,1.23346,1.25116,1.46734,0.63121,0.58989,0.64164,0.40594,1.28466,1.40325,1.65646,0.009505,0.009505,0.009505
22,18675.7,1.21658,1.21268,1.46701,0.73826,0.61615,0.71129,0.45592,1.22309,1.20676,1.59756,0.00948025,0.00948025,0.00948025
23,18713.7,1.22974,1.22035,1.46739,0.60677,0.52284,0.57483,0.34674,1.38859,1.55433,1.80154,0.0094555,0.0094555,0.0094555
24,18751.4,1.21604,1.21974,1.46547,0.53329,0.46101,0.49209,0.30507,1.30359,1.63613,1.67552,0.00943075,0.00943075,0.00943075
25,18789.3,1.19252,1.19374,1.43924,0.77356,0.63427,0.73232,0.4687,1.24225,1.18125,1.61156,0.009406,0.009406,0.009406
26,18826.9,1.20116,1.17905,1.44607,0.74515,0.6875,0.7558,0.49169,1.21754,1.09232,1.58882,0.00938125,0.00938125,0.00938125
27,18864.6,1.18757,1.16316,1.43655,0.72487,0.63126,0.72738,0.46274,1.25448,1.14392,1.63491,0.0093565,0.0093565,0.0093565
28,18902.1,1.18312,1.12742,1.43809,0.74209,0.64321,0.74551,0.4745,1.2555,1.07775,1.59944,0.00933175,0.00933175,0.00933175
29,18939.9,1.18914,1.11838,1.42532,0.73996,0.6537,0.73298,0.47531,1.23823,1.13559,1.59975,0.009307,0.009307,0.009307
30,18977.7,1.17295,1.09134,1.41954,0.65916,0.65442,0.67499,0.4233,1.26822,1.22578,1.64274,0.00928225,0.00928225,0.00928225
31,19015.7,1.17302,1.1113,1.42232,0.7348,0.69744,0.74136,0.47632,1.25133,1.09499,1.61416,0.0092575,0.0092575,0.0092575
32,19053.4,1.16264,1.11575,1.41017,0.80105,0.58332,0.73152,0.47018,1.2409,1.18701,1.62237,0.00923275,0.00923275,0.00923275
33,19091.2,1.1629,1.08833,1.41901,0.78584,0.56325,0.6923,0.45099,1.26277,1.23322,1.64438,0.009208,0.009208,0.009208
34,19128.7,1.15382,1.05901,1.40476,0.83047,0.61139,0.7613,0.51039,1.17545,1.05671,1.54233,0.00918325,0.00918325,0.00918325
35,19166.6,1.15264,1.07092,1.40417,0.824,0.63927,0.7584,0.49553,1.19566,1.07341,1.55674,0.0091585,0.0091585,0.0091585
36,19205,1.16395,1.06276,1.40507,0.53006,0.57023,0.58282,0.37483,1.24643,1.38266,1.60399,0.00913375,0.00913375,0.00913375
37,19242.5,1.14008,1.03865,1.39426,0.79084,0.67501,0.77818,0.51084,1.19643,1.03271,1.57042,0.009109,0.009109,0.009109
38,19279.8,1.13943,1.03285,1.39537,0.75048,0.68647,0.78697,0.5231,1.13769,0.96731,1.50794,0.00908425,0.00908425,0.00908425
39,19317.2,1.14675,1.0289,1.39767,0.76457,0.67128,0.78735,0.51928,1.16022,1.00147,1.50507,0.0090595,0.0090595,0.0090595
40,19354.4,1.13308,1.01951,1.3925,0.75545,0.57594,0.7095,0.46073,1.27023,1.27405,1.63517,0.00903475,0.00903475,0.00903475
41,19391.7,1.13392,1.00726,1.38543,0.7739,0.67962,0.78965,0.51669,1.1694,0.99367,1.53037,0.00901,0.00901,0.00901
42,19429,1.12615,0.97954,1.38856,0.76044,0.66317,0.76027,0.5023,1.20365,1.09106,1.59228,0.00898525,0.00898525,0.00898525
43,19466.2,1.13818,0.99075,1.38594,0.7454,0.6699,0.75631,0.4974,1.20712,1.08971,1.5744,0.0089605,0.0089605,0.0089605
44,19503.4,1.12675,0.98669,1.38036,0.71844,0.63542,0.71943,0.46865,1.21117,1.12742,1.57357,0.00893575,0.00893575,0.00893575
45,19540.6,1.10425,0.95893,1.36295,0.83595,0.6854,0.80503,0.53567,1.19108,0.93464,1.5453,0.008911,0.008911,0.008911
46,19577.9,1.11966,0.95504,1.37264,0.7876,0.68962,0.80177,0.53233,1.17027,0.97238,1.50681,0.00888625,0.00888625,0.00888625
47,19615.2,1.12532,0.95664,1.37704,0.78767,0.67285,0.78303,0.51819,1.17467,0.97607,1.53114,0.0088615,0.0088615,0.0088615
48,19652.2,1.1083,0.95117,1.37438,0.83284,0.72189,0.82537,0.55682,1.1574,0.87243,1.51251,0.00883675,0.00883675,0.00883675
49,19689.4,1.09761,0.95031,1.35701,0.75683,0.60632,0.70859,0.46229,1.27187,1.1895,1.65161,0.008812,0.008812,0.008812
50,19726.5,1.10251,0.9216,1.36319,0.74855,0.67528,0.76395,0.50628,1.17861,1.01909,1.54605,0.00878725,0.00878725,0.00878725
51,19763.5,1.09276,0.91777,1.36122,0.72531,0.66638,0.724,0.46669,1.17165,1.07579,1.52691,0.0087625,0.0087625,0.0087625
52,19801.2,1.11702,0.93503,1.37344,0.71342,0.65126,0.73338,0.48983,1.18966,1.1049,1.53506,0.00873775,0.00873775,0.00873775
53,19838.4,1.12409,0.94976,1.37642,0.74064,0.70047,0.774,0.49648,1.20434,1.00993,1.54448,0.008713,0.008713,0.008713
54,19875.7,1.10804,0.92214,1.36106,0.7634,0.76206,0.83024,0.56416,1.13435,0.85971,1.48533,0.00868825,0.00868825,0.00868825
55,19912.9,1.09059,0.89763,1.35101,0.7671,0.76612,0.82024,0.54643,1.16054,0.91146,1.50627,0.0086635,0.0086635,0.0086635
56,19950.6,1.08922,0.91708,1.35186,0.75515,0.74649,0.80657,0.55326,1.12128,0.9082,1.48393,0.00863875,0.00863875,0.00863875
57,19989.3,1.07304,0.88109,1.32964,0.8219,0.67104,0.7915,0.53921,1.13036,0.9516,1.49782,0.008614,0.008614,0.008614
