epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.4536,1.17197,3.44973,1.59446,0.00526,0.94973,0.35124,0.22095,1.00371,3.18068,1.54238,0.0003375,0.0003375,0.0003375
2,64.9397,1.19208,2.63698,1.60735,0.90912,0.04886,0.20518,0.09521,1.49427,3.12992,2.28307,0.000619438,0.000619438,0.000619438
3,96.8882,1.25343,2.34207,1.6446,0.06108,0.07359,0.05335,0.01951,1.85443,3.37651,2.84961,0.000832075,0.000832075,0.000832075
4,129.087,1.30145,2.166,1.69371,0.21401,0.31554,0.08125,0.0291,2.24782,5.37424,3.42233,0.00087875,0.00087875,0.00087875
5,160.265,1.25293,1.90589,1.63202,0.56903,0.32001,0.30383,0.17073,1.58984,2.7443,2.33397,0.000755,0.000755,0.000755
6,191.156,1.224,1.66037,1.58362,0.38363,0.47966,0.38489,0.22681,1.32678,2.19103,1.80529,0.00063125,0.00063125,0.00063125
7,221.44,1.14005,1.46223,1.51659,0.62799,0.56607,0.64949,0.40464,1.26185,1.4811,1.68296,0.0005075,0.0005075,0.0005075
8,250.575,1.10646,1.30169,1.47787,0.70241,0.66917,0.73155,0.47482,1.24096,1.19998,1.62241,0.00038375,0.00038375,0.00038375
9,283.448,1.07582,1.16176,1.44661,0.76372,0.63619,0.72225,0.48523,1.21105,1.24105,1.61903,0.00026,0.00026,0.00026
10,313.842,1.02916,1.04352,1.3915,0.8453,0.70775,0.8107,0.54993,1.12603,0.98425,1.49575,0.00013625,0.00013625,0.00013625
